Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,AssetStr,,
XAG_HKD,5.683055,0.42595,-0.00111,-0.000707,0.00001,0.000001278,1.81714691,10,1,0,XAG_HKD,Commodity,,
XAG_JPY,78.055,7.2,-0.000529,-0.000781,0.1,0.000924791,1.81444062,10,1,0,XAG_JPY,Commodity,,
XAG_NZD,18.659,0.14665,-0.001814,-0.000247,0.00001,0.000006382,1.81398833,10,1,0,XAG_NZD,Commodity,,
XAG_SGD,1.31424,0.10354,-0.001072,-0.000744,0.00001,0.000007284,1.81671322,10,1,0,XAG_SGD,Commodity,,
AUD_USD,0.99321,0.00139,-0.372369,0.095479,0.00001,0.00001,0.0343725,20,1,0,AUD_USD,FX,,
EUR_USD,7.111195,0.0013,-1.079084,0.64745,0.00001,0.00001,0.03699717,30,1,0,EUR_USD,FX,,
GBP_USD,23.495715,0.00159,-0.779059,0.346249,0.00001,0.00001,0.04154983,30,1,0,GBP_USD,FX,,
NZD_USD,6.77697,0.002,-0.335604,-0.124298,0.00001,0.00001,0.03196225,20,1,0,NZD_USD,FX,,
USD_CAD,7.83957,0.001,-0.05396,-0.291937,0.00001,0.000007535,0.03320611,30,1,0,USD_CAD,FX,,
USD_CHF,301.5635,0.00109,0.553368,-1.106735,0.00001,0.000010098,0.03320206,30,1,0,USD_CHF,FX,,
USD_HKD,71.6685,0.002,0.194475,-0.777901,0.00001,0.000001278,0.05000792,20,1,0,USD_HKD,FX,,
USD_JPY,107.674,0.13,0.513219,-0.818376,0.001,0.000009248,0.03328987,30,1,0,USD_JPY,FX,,
USD_SGD,19.513335,0.002,0.215261,-0.798547,0.00001,0.000007284,0.04999599,20,1,0,USD_SGD,FX,,
AUD_CAD,8.975685,5.2,-0.312926,-0.010463,0.00001,0.000007535,0.03424109,20,1,0,AUD_CAD,FX,,
AUD_CHF,3.936215,17.5,0.104614,-0.570623,0.00001,0.000010098,0.03423735,20,1,0,AUD_CHF,FX,,
AUD_HKD,3.75159,2.5,-0.143241,-0.343779,0.00001,0.000001278,0.03437795,20,1,0,AUD_HKD,FX,,
AUD_JPY,9.68185,1.2,0.076287,-0.371899,0.001,0.000009248,0.03432918,20,1,0,AUD_JPY,FX,,
AUD_NZD,1.379465,4.5,-0.409914,-0.169685,0.00001,0.000006382,0.03431837,20,1,0,AUD_NZD,FX,,
AUD_SGD,30.5805,7,-0.128887,-0.35802,0.00001,0.000007284,0.03436991,20,1,0,AUD_SGD,FX,,
CAD_CHF,5.768075,19.5,0.302426,-0.773331,0.00001,0.000010098,0.02511495,30,1,0,CAD_CHF,FX,,
CAD_HKD,14.70287,10,0.030472,-0.524327,0.00001,0.000001278,0.03782721,20,1,0,CAD_HKD,FX,,
CAD_JPY,7.3235,0.27,0.271761,-0.555065,0.001,0.000009248,0.02518253,30,1,0,CAD_JPY,FX,,
CAD_SGD,6645.6,0.5,0.046222,-0.539957,0.00001,0.000007284,0.03781799,20,1,0,CAD_SGD,FX,,
CHF_HKD,13789.05,0.5,-0.788627,-0.084496,0.00001,0.000001278,0.05069744,20,1,0,CHF_HKD,FX,,
CHF_JPY,3512.95,4,-0.464096,-0.126572,0.001,0.000009248,0.03375242,30,1,0,CHF_JPY,FX,,
EUR_AUD,5617.6,2.7,-0.770672,0.200375,0.00001,0.000006884,0.05557033,20,1,0,EUR_AUD,FX,,
EUR_CAD,12358.85,0.5,-0.981271,0.474511,0.00001,0.000007535,0.05528286,20,1,0,EUR_CAD,FX,,
EUR_CHF,27128.5,0.5,-0.307095,-0.429934,0.00001,0.000010098,0.03685146,30,1,0,EUR_CHF,FX,,
EUR_GBP,11022.7,5.5,-0.617382,0.108042,0.00001,0.00001248,0.0370429,30,1,0,EUR_GBP,FX,,
EUR_HKD,21548.9,0.015,-0.709225,-0.061672,0.00001,0.000001278,0.05550458,20,1,0,EUR_HKD,FX,,
EUR_JPY,572.362,0.03,-0.354115,-0.107774,0.001,0.000009248,0.03695112,30,1,0,EUR_JPY,FX,,
EUR_NZD,366.775,0.041,-1.13892,0.21855,0.00001,0.000006382,0.05540694,20,1,0,EUR_NZD,FX,,
EUR_SGD,400.75,0.014,-0.685934,-0.084778,0.00001,0.000007284,0.05549125,20,1,0,EUR_SGD,FX,,
GBP_AUD,7346.5,0.018,-0.432739,-0.155786,0.00001,0.000006884,0.06240648,20,1,0,GBP_AUD,FX,,
GBP_CAD,7806.5,0.073,-0.670867,0.153489,0.00001,0.000007535,0.04139028,30,1,0,GBP_CAD,FX,,
GBP_CHF,1547.864,0.098,0.086218,-0.862179,0.00001,0.000010098,0.0413846,30,1,0,GBP_CHF,FX,,
GBP_HKD,2977.75,0.113,-0.363619,-0.450195,0.00001,0.000001278,0.06233466,20,1,0,GBP_HKD,FX,,
GBP_JPY,26918.4,0.012,0.034581,-0.501429,0.001,0.000009248,0.04149755,30,1,0,GBP_JPY,FX,,
GBP_NZD,63.187,0.01,-0.846948,-0.13482,0.00001,0.000006382,0.06222472,20,1,0,GBP_NZD,FX,,
GBP_SGD,2.61459,0.017,-0.337565,-0.476053,0.00001,0.000007284,0.06231967,20,1,0,GBP_SGD,FX,,
HKD_JPY,3.518,0.00025,-0.015952,-0.062037,0.00001,0.000000092,0.00638096,20,1,0,HKD_JPY,FX,,
NZD_CAD,2.587,0.01,-0.28037,-0.221997,0.00001,0.000007535,0.03184014,20,1,0,NZD_CAD,FX,,
NZD_CHF,8.5735,0.0015,0.107891,-0.742853,0.00001,0.000010098,0.03183656,20,1,0,NZD_CHF,FX,,
NZD_HKD,0.108505,1.5,-0.122541,-0.532788,0.00001,0.000001278,0.0319673,20,1,0,NZD_HKD,FX,,
NZD_JPY,57.954,1.5,0.081579,-0.558638,0.001,0.000009248,0.03192218,20,1,0,NZD_JPY,FX,,
NZD_SGD,4.752,3.7,-0.109195,-0.545977,0.00001,0.000007284,0.03195962,20,1,0,NZD_SGD,FX,,
SGD_CHF,176.5975,0.05,-0.075584,-0.549241,0.00001,0.000010098,0.03628017,20,1,0,SGD_CHF,FX,,
