Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD_USD,0.7073,0.0003,0,0,0.0001,0.000100,0,100,1,0,AUD_USD
EUR_USD,1.1205,0.0003,0,0,0.0001,0.000100,0,100,1,0,EUR_USD
GBP_USD,1.3032,0.0004,0,0,0.0001,0.000100,0,100,1,0,GBP_USD
NZD_USD,0.6761,0.0004,0,0,0.0001,0.000100,0,100,1,0,NZD_USD
USD_CAD,1.3325,0.0004,0,0,0.0001,0.000075,0,100,1,0,USD_CAD
USD_CHF,0.9986,0.0003,0,0,0.0001,0.000100,0,100,1,0,USD_CHF
USD_JPY,111.34,0.0300,0,0,0.0100,0.000090,0,100,1,0,USD_JPY
