Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
NZD/USD,6.77697,0.002,0.00,0.00,0.00001,0.000010000,0.031962250,20,1,0,NZD_USD
USD/CAD,7.83957,0.001,0.00,0.00,0.00001,0.000007535,0.033206110,30,1,0,USD_CAD
USD/CHF,301.5635,0.00109,0.00,0.00,0.00001,0.000010098,0.033202060,30,1,0,USD_CHF
USD/HKD,71.6685,0.002,0.00,0.00,0.00001,0.000001278,0.050007920,20,1,0,USD_HKD
USD/JPY,107.674,0.13,0.00,0.00,0.001,0.000009248,0.033289870,30,1,0,USD_JPY
USD/SGD,19.513335,0.002,0.00,0.00,0.00001,0.000007284,0.049995990,20,1,0,USD_SGD
AUD/CAD,8.975685,5.2,0.00,0.00,0.00001,0.000007535,0.034241090,20,1,0,AUD_CAD
AUD/CHF,3.936215,17.5,0.00,0.00,0.00001,0.000010098,0.034237350,20,1,0,AUD_CHF
AUD/HKD,3.75159,2.5,0.00,0.00,0.00001,0.000001278,0.034377950,20,1,0,AUD_HKD
AUD/JPY,9.68185,1.2,0.00,0.00,0.001,0.000009248,0.034329180,20,1,0,AUD_JPY
AUD/NZD,1.379465,4.5,0.00,0.00,0.00001,0.000006382,0.034318370,20,1,0,AUD_NZD
AUD/SGD,30.5805,7,0.00,0.00,0.00001,0.000007284,0.034369910,20,1,0,AUD_SGD
CAD/CHF,5.768075,19.5,0.00,0.00,0.00001,0.000010098,0.025114950,30,1,0,CAD_CHF
CAD/HKD,14.70287,10,0.00,0.00,0.00001,0.000001278,0.037827210,20,1,0,CAD_HKD
CAD/JPY,7.3235,0.27,0.00,0.00,0.001,0.000009248,0.025182530,30,1,0,CAD_JPY
CAD/SGD,6645.6,0.5,0.00,0.00,0.00001,0.000007284,0.037817990,20,1,0,CAD_SGD
CHF/HKD,13789.05,0.5,0.00,0.00,0.00001,0.000001278,0.050697440,20,1,0,CHF_HKD
CHF/JPY,3512.95,4,0.00,0.00,0.001,0.000009248,0.033752420,30,1,0,CHF_JPY
EUR/AUD,5617.6,2.7,0.00,0.00,0.00001,0.000006884,0.055570330,20,1,0,EUR_AUD
EUR/CAD,12358.85,0.5,0.00,0.00,0.00001,0.000007535,0.055282860,20,1,0,EUR_CAD
EUR/CHF,27128.5,0.5,0.00,0.00,0.00001,0.000010098,0.036851460,30,1,0,EUR_CHF
EUR/GBP,11022.7,5.5,0.00,0.00,0.00001,0.000012480,0.037042900,30,1,0,EUR_GBP
EUR/HKD,21548.9,0.015,0.00,0.00,0.00001,0.000001278,0.055504580,20,1,0,EUR_HKD
EUR/JPY,572.362,0.03,0.00,0.00,0.001,0.000009248,0.036951120,30,1,0,EUR_JPY
EUR/NZD,366.775,0.041,0.00,0.00,0.00001,0.000006382,0.055406940,20,1,0,EUR_NZD
EUR/SGD,400.75,0.014,0.00,0.00,0.00001,0.000007284,0.055491250,20,1,0,EUR_SGD
GBP/AUD,7346.5,0.018,0.00,0.00,0.00001,0.000006884,0.062406480,20,1,0,GBP_AUD
GBP/CAD,7806.5,0.073,0.00,0.00,0.00001,0.000007535,0.041390280,30,1,0,GBP_CAD
GBP/CHF,1547.864,0.098,0.00,0.00,0.00001,0.000010098,0.041384600,30,1,0,GBP_CHF
GBP/HKD,2977.75,0.113,0.00,0.00,0.00001,0.000001278,0.062334660,20,1,0,GBP_HKD
GBP/JPY,26918.4,0.012,0.00,0.00,0.001,0.000009248,0.041497550,30,1,0,GBP_JPY
GBP/NZD,63.187,0.01,0.00,0.00,0.00001,0.000006382,0.062224720,20,1,0,GBP_NZD
GBP/SGD,2.61459,0.017,0.00,0.00,0.00001,0.000007284,0.062319670,20,1,0,GBP_SGD
HKD/JPY,3.518,0.00025,0.00,0.00,0.00001,0.000000092,0.006380960,20,1,0,HKD_JPY
NZD/CAD,2.587,0.01,0.00,0.00,0.00001,0.000007535,0.031840140,20,1,0,NZD_CAD
NZD/CHF,8.5735,0.0015,0.00,0.00,0.00001,0.000010098,0.031836560,20,1,0,NZD_CHF
NZD/HKD,0.108505,1.5,0.00,0.00,0.00001,0.000001278,0.031967300,20,1,0,NZD_HKD
NZD/JPY,57.954,1.5,0.00,0.00,0.001,0.000009248,0.031922180,20,1,0,NZD_JPY
NZD/SGD,4.752,3.7,0.00,0.00,0.00001,0.000007284,0.031959620,20,1,0,NZD_SGD
SGD/CHF,176.5975,0.05,0.00,0.00,0.00001,0.000010098,0.036280170,20,1,0,SGD_CHF
SGD/HKD,133.167,7.064,0.00,0.00,0.00001,0.000001278,0.036428880,20,1,0,SGD_HKD
SGD/JPY,129.449,4.811,0.00,0.00,0.001,0.000009248,0.036375740,20,1,0,SGD_JPY
CHF/ZAR,107.398,4.099,0.00,0.00,0.00001,0.000001483,0.055391740,20,1,0,CHF_ZAR
EUR/CZK,118.593,3.472,0.00,0.00,0.00001,0.000001114,0.055381390,20,1,0,EUR_CZK
EUR/DKK,162.0465,3.039,0.00,0.00,0.00001,0.000001040,0.055402450,20,1,0,EUR_DKK
EUR/NOK,2174.699,22.532,0.00,0.00,0.00001,0.000001483,0.049906510,20,1,0,EUR_NOK
EUR/SEK,1483.5905,420,0.00,0.00,0.00001,0.000001114,0.049897670,20,1,0,EUR_SEK
USD/DKK,1563.632,11.247,0.00,0.00,0.00001,0.000001040,0.049916420,20,1,0,USD_DKK
USD/NOK,23.87056,6.411,0.00,0.00,0.00001,0.000000687,0.050578950,20,1,0,USD_NOK
